crop_type,crop_growth_stage,soil_type,soil_ph,soil_moisture,organic_carbon,electrical_conductivity,N,P,K,temperature_c,humidity,rainfall_mm,sunlight_hours,wind_speed_kmh,season,irrigation_type,water_source,field_area_hectare,mulching_used,previous_irrigation_mm,region,irrigation_need,water_required_mm
Maize,Vegetative,Sandy,5.09,38.5,0.78,1.84,76.0,48.5,20.0,24.0,74.34,786.51,5.29,16.05,Rabi,Drip,Groundwater,10.61,No,115.97,South,Medium,83.21
Maize,Sowing,Silt,7.23,43.81,1.55,1.34,76.0,48.5,20.0,31.93,31.66,2131.17,4.64,7.34,Rabi,Sprinkler,Groundwater,3.5,Yes,3.43,Central,Low,1.77
Rice,Sowing,Sandy,5.47,60.55,0.51,1.62,80.0,47.0,40.0,23.83,52.08,777.28,7.72,13.37,Kharif,Sprinkler,Groundwater,1.61,Yes,100.24,South,Low,40.32
Rice,Vegetative,Sandy,6.21,63.62,0.99,2.84,80.0,47.0,40.0,28.07,70.28,2383.12,10.31,13.68,Rabi,Canal,Reservoir,12.65,No,20.46,Central,Medium,11.84
Rice,Flowering,Clay,6.4,29.16,1.02,0.16,80.0,47.0,40.0,41.66,38.5,459.0,5.33,7.99,Zaid,Drip,Reservoir,1.96,No,19.37,South,Medium,22.42
Rice,Vegetative,Clay,6.05,9.29,0.42,3.23,80.0,47.0,40.0,34.42,60.15,28.5,6.68,11.21,Kharif,Sprinkler,River,13.18,Yes,21.15,Central,High,38.37
Maize,Flowering,Clay,5.14,16.42,1.16,1.8,76.0,48.5,20.0,15.62,86.94,490.33,10.41,2.75,Kharif,Sprinkler,Reservoir,10.03,Yes,18.77,South,Medium,17.86
Cotton,Vegetative,Silt,5.77,60.64,0.69,0.93,117.0,46.0,19.0,30.4,52.95,1598.69,9.29,3.37,Kharif,Rainfed,Reservoir,7.67,No,8.68,East,Medium,5.31
Cotton,Vegetative,Loamy,5.46,42.19,0.48,1.06,117.0,46.0,19.0,18.31,29.11,1720.61,5.09,9.98,Rabi,Sprinkler,Groundwater,5.15,No,45.98,North,Low,21.05
Maize,Sowing,Clay,5.52,9.89,1.18,0.4,76.0,48.5,20.0,38.28,28.95,2081.52,4.44,18.14,Kharif,Rainfed,Rainwater,11.42,Yes,104.58,Central,Medium,100.11
Rice,Sowing,Loamy,4.88,12.65,0.38,1.82,80.0,47.0,40.0,40.03,48.23,372.41,8.77,5.52,Zaid,Sprinkler,Rainwater,5.16,Yes,37.67,Central,Low,29.63
Rice,Sowing,Silt,7.85,35.45,0.74,2.02,80.0,47.0,40.0,14.68,38.78,126.16,8.26,3.73,Rabi,Sprinkler,Groundwater,13.22,Yes,57.85,North,Low,38.24
Cotton,Flowering,Loamy,5.52,31.15,1.4,1.64,117.0,46.0,19.0,38.56,61.3,74.26,4.42,3.26,Kharif,Canal,Groundwater,11.54,No,22.21,North,Medium,34.19
Maize,Sowing,Clay,5.57,42.55,1.31,1.66,76.0,48.5,20.0,19.78,37.82,259.48,10.82,3.52,Kharif,Canal,Rainwater,7.38,No,39.36,East,Low,23.21
Rice,Flowering,Loamy,5.06,47.54,0.98,0.77,80.0,47.0,40.0,30.69,81.54,1132.31,9.8,17.4,Kharif,Drip,Groundwater,11.68,No,11.21,East,Medium,9.47
Rice,Vegetative,Silt,5.26,59.1,1.57,0.58,80.0,47.0,40.0,28.59,91.58,2035.99,10.74,6.31,Zaid,Canal,Groundwater,3.03,Yes,118.79,Central,Low,50.89
Cotton,Sowing,Silt,5.95,21.09,1.08,1.9,117.0,46.0,19.0,32.09,59.85,2428.6,5.98,15.3,Kharif,Sprinkler,Reservoir,2.21,No,3.85,West,Medium,3.45
Rice,Flowering,Sandy,7.21,14.12,0.83,1.56,80.0,47.0,40.0,13.38,41.79,2066.13,8.95,0.9,Rabi,Canal,Groundwater,5.96,No,36.02,North,Medium,32.87
Maize,Harvest,Sandy,6.7,15.96,1.47,2.81,76.0,48.5,20.0,18.09,69.51,1256.29,7.7,9.52,Kharif,Drip,Groundwater,13.98,Yes,24.59,South,Low,9.48
Maize,Flowering,Clay,6.85,13.64,1.15,3.11,76.0,48.5,20.0,14.11,56.61,1270.6,7.68,2.6,Kharif,Rainfed,River,9.56,Yes,61.43,Central,Medium,56.06
Cotton,Flowering,Sandy,8.2,38.07,1.33,2.97,117.0,46.0,19.0,38.87,89.63,1128.52,7.93,13.4,Zaid,Canal,Rainwater,4.11,Yes,51.28,West,Medium,50.98
Maize,Vegetative,Clay,6.18,30.3,0.97,1.27,76.0,48.5,20.0,14.5,94.73,2287.86,5.02,17.15,Rabi,Rainfed,Groundwater,2.86,Yes,24.15,South,Low,11.84
Cotton,Flowering,Clay,7.91,43.23,0.69,3.04,117.0,46.0,19.0,38.82,92.93,1427.73,6.83,1.2,Kharif,Rainfed,Rainwater,12.28,No,82.6,Central,Medium,78.3
Rice,Sowing,Loamy,6.05,11.84,1.23,1.2,80.0,47.0,40.0,37.36,56.94,1915.4,10.85,2.26,Kharif,Rainfed,River,6.98,Yes,23.61,North,Low,15.69
Maize,Vegetative,Clay,6.1,42.74,0.54,2.27,76.0,48.5,20.0,29.43,51.96,1771.37,9.5,10.02,Rabi,Rainfed,Reservoir,7.78,No,118.34,Central,Medium,86.16
Rice,Flowering,Silt,7.64,32.05,0.45,0.24,80.0,47.0,40.0,19.33,80.17,2200.54,4.88,12.41,Zaid,Canal,Reservoir,5.16,Yes,109.7,North,Low,66.64
Rice,Sowing,Sandy,6.89,64.17,1.18,2.85,80.0,47.0,40.0,20.38,50.39,607.12,8.71,7.9,Rabi,Canal,Reservoir,10.46,No,87.21,West,Low,32.48
Maize,Harvest,Silt,6.54,30.14,1.05,3.46,76.0,48.5,20.0,15.23,89.28,185.21,6.63,0.91,Kharif,Rainfed,Groundwater,9.3,No,87.98,West,Low,40.87
Cotton,Sowing,Silt,6.15,27.52,0.31,1.9,117.0,46.0,19.0,41.08,76.8,1928.2,6.85,0.84,Kharif,Drip,Groundwater,4.95,Yes,6.96,West,Low,4.46
Cotton,Vegetative,Sandy,5.97,41.7,0.44,2.34,117.0,46.0,19.0,18.89,66.88,1075.52,4.5,5.21,Zaid,Drip,River,11.2,Yes,106.88,East,Low,49.45
Maize,Sowing,Sandy,6.29,47.9,0.73,2.37,76.0,48.5,20.0,20.49,69.59,380.26,8.03,16.56,Kharif,Canal,Reservoir,4.76,Yes,92.11,South,Low,46.93
Cotton,Flowering,Clay,6.17,57.47,1.33,2.39,117.0,46.0,19.0,15.74,87.49,1208.68,5.52,14.51,Rabi,Canal,Groundwater,9.26,No,51.68,West,Medium,33.85
Cotton,Flowering,Loamy,6.23,33.88,1.05,0.56,117.0,46.0,19.0,34.01,63.3,756.01,10.11,6.89,Kharif,Drip,Groundwater,11.94,Yes,113.69,North,Low,78.58
Cotton,Harvest,Loamy,8.07,37.99,1.34,2.77,117.0,46.0,19.0,13.05,37.25,1123.79,9.33,13.81,Zaid,Drip,Rainwater,3.63,No,64.02,South,Low,20.56
Maize,Harvest,Clay,7.55,61.1,1.09,3.47,76.0,48.5,20.0,18.45,35.5,1580.58,6.34,12.5,Kharif,Rainfed,Reservoir,0.47,No,76.55,Central,Low,20.26
Cotton,Sowing,Silt,6.74,11.1,0.64,2.18,117.0,46.0,19.0,14.79,49.05,1594.57,5.96,13.23,Kharif,Canal,River,9.68,No,105.42,North,Medium,80.17
Cotton,Harvest,Sandy,7.73,23.15,0.47,0.29,117.0,46.0,19.0,37.98,45.08,805.61,8.12,6.88,Kharif,Drip,River,11.55,No,24.12,North,Medium,15.73
Cotton,Vegetative,Silt,5.07,37.35,1.37,2.0,117.0,46.0,19.0,13.98,59.39,360.25,10.92,9.66,Kharif,Drip,Reservoir,2.06,Yes,47.66,East,Low,25.7
Cotton,Harvest,Silt,5.05,35.36,0.84,1.04,117.0,46.0,19.0,37.83,37.27,799.29,5.1,15.3,Rabi,Sprinkler,Rainwater,5.56,No,56.88,South,Low,23.43
Rice,Vegetative,Clay,5.52,35.33,1.58,1.66,80.0,47.0,40.0,15.02,79.82,1098.16,6.32,14.47,Rabi,Drip,Rainwater,1.86,Yes,42.8,South,Low,20.1
Rice,Sowing,Silt,7.07,61.26,1.5,2.73,80.0,47.0,40.0,12.76,59.81,1844.0,10.94,15.35,Kharif,Sprinkler,Rainwater,5.29,Yes,60.31,North,Low,21.92
Rice,Sowing,Clay,7.63,23.62,0.48,1.71,80.0,47.0,40.0,29.71,27.21,972.4,7.16,0.97,Kharif,Drip,Reservoir,3.2,Yes,95.12,South,Low,57.27
Cotton,Vegetative,Sandy,6.21,36.82,0.96,2.67,117.0,46.0,19.0,37.23,52.75,2489.08,8.91,3.76,Kharif,Rainfed,Reservoir,2.24,Yes,64.32,South,Low,37.17
Rice,Vegetative,Sandy,8.18,30.85,0.76,2.87,80.0,47.0,40.0,38.83,81.75,1486.09,9.46,5.14,Kharif,Sprinkler,Groundwater,5.16,Yes,109.84,South,Low,67.78
Maize,Harvest,Silt,5.18,39.08,1.5,2.64,76.0,48.5,20.0,33.66,64.07,2145.22,7.99,13.85,Rabi,Canal,Reservoir,10.15,Yes,85.5,North,Low,32.82
Cotton,Harvest,Sandy,6.87,46.18,0.36,1.56,117.0,46.0,19.0,24.25,83.54,1766.05,9.22,11.93,Rabi,Canal,Groundwater,13.22,No,115.75,West,Low,37.99
Maize,Vegetative,Silt,7.59,61.65,0.88,1.12,76.0,48.5,20.0,38.61,40.09,204.41,5.71,16.78,Kharif,Sprinkler,Rainwater,1.46,Yes,102.22,North,Medium,88.62
Rice,Sowing,Loamy,5.61,38.84,1.46,2.23,80.0,47.0,40.0,25.1,65.44,2418.36,6.88,4.16,Rabi,Rainfed,Reservoir,8.9,Yes,10.69,Central,Low,5.41
Rice,Vegetative,Loamy,7.48,61.16,0.42,1.83,80.0,47.0,40.0,19.22,61.17,481.89,8.72,2.03,Zaid,Sprinkler,Rainwater,9.93,Yes,10.45,North,Low,4.16
Maize,Sowing,Sandy,4.99,35.27,0.83,2.4,76.0,48.5,20.0,31.43,92.46,1134.82,5.92,15.08,Zaid,Rainfed,River,5.68,Yes,77.11,South,Low,42.84
Maize,Vegetative,Loamy,6.52,41.98,1.45,1.2,76.0,48.5,20.0,30.67,76.81,513.85,4.2,17.08,Rabi,Rainfed,Rainwater,7.15,Yes,19.48,East,Medium,14.62
Cotton,Sowing,Silt,7.28,55.79,1.14,2.81,117.0,46.0,19.0,22.31,59.2,473.8,5.38,4.85,Kharif,Drip,Rainwater,9.69,Yes,115.7,West,Low,50.8
Maize,Flowering,Silt,6.88,39.63,1.54,2.17,76.0,48.5,20.0,15.38,61.7,436.11,9.38,3.53,Zaid,Drip,River,3.55,No,76.72,South,Low,45.59
Cotton,Sowing,Sandy,6.66,59.53,1.11,1.97,117.0,46.0,19.0,26.83,64.38,2355.79,5.52,16.34,Zaid,Drip,Rainwater,3.89,Yes,81.48,North,Low,34.15
Cotton,Sowing,Silt,6.98,58.38,0.86,0.32,117.0,46.0,19.0,31.59,76.7,2381.61,5.36,7.02,Kharif,Canal,Reservoir,10.73,Yes,18.22,South,Low,8.1
Maize,Sowing,Sandy,5.68,37.0,0.74,0.7,76.0,48.5,20.0,20.82,62.18,1501.06,6.86,0.72,Kharif,Sprinkler,Reservoir,1.07,No,85.9,West,Low,42.32
Rice,Harvest,Loamy,7.66,61.05,1.45,0.87,80.0,47.0,40.0,14.35,28.45,193.99,6.81,11.77,Kharif,Rainfed,Rainwater,14.17,No,46.86,East,Medium,22.86
Rice,Sowing,Clay,7.48,15.89,1.52,2.15,80.0,47.0,40.0,34.96,90.64,307.46,10.24,2.38,Kharif,Drip,Groundwater,14.14,Yes,116.79,South,Low,92.91
Rice,Harvest,Sandy,6.81,40.04,0.92,1.89,80.0,47.0,40.0,32.8,69.67,547.78,5.75,14.31,Rabi,Rainfed,River,4.9,Yes,87.5,East,Low,33.03
Maize,Flowering,Loamy,5.37,33.98,0.34,0.18,76.0,48.5,20.0,18.44,65.21,60.02,10.06,1.16,Zaid,Rainfed,Groundwater,8.54,No,52.25,Central,Medium,65.25
Cotton,Flowering,Silt,7.45,53.18,0.75,1.12,117.0,46.0,19.0,21.88,50.68,1305.72,4.38,11.69,Kharif,Sprinkler,Reservoir,4.48,Yes,84.29,West,Low,43.17
Rice,Harvest,Loamy,7.62,56.85,1.03,3.41,80.0,47.0,40.0,13.39,42.81,256.97,7.27,1.46,Kharif,Canal,River,0.58,Yes,117.76,South,Low,40.09
Maize,Sowing,Clay,7.19,39.13,1.22,2.58,76.0,48.5,20.0,26.88,60.38,1830.73,4.66,18.59,Kharif,Rainfed,Reservoir,7.48,Yes,34.05,Central,Low,17.5
Rice,Flowering,Silt,8.02,31.46,1.23,2.09,80.0,47.0,40.0,21.75,47.17,752.38,6.32,1.56,Rabi,Canal,Rainwater,14.92,Yes,54.42,East,Low,34.08
Rice,Harvest,Sandy,6.19,14.15,0.61,2.48,80.0,47.0,40.0,41.88,45.25,932.87,6.03,4.74,Zaid,Rainfed,River,5.2,Yes,13.99,West,Low,6.66
Cotton,Flowering,Sandy,7.05,30.42,1.3,2.51,117.0,46.0,19.0,41.7,92.76,871.22,9.08,8.93,Zaid,Drip,Rainwater,3.68,No,33.71,South,Medium,36.16
Maize,Flowering,Silt,6.38,49.83,0.33,2.7,76.0,48.5,20.0,19.06,65.88,895.05,6.97,18.94,Rabi,Rainfed,Reservoir,1.51,Yes,51.35,Central,Low,26.42
Rice,Flowering,Silt,6.6,47.37,0.87,1.5,80.0,47.0,40.0,37.94,72.53,98.89,7.14,14.04,Kharif,Canal,River,8.75,No,28.04,South,High,47.36
Cotton,Flowering,Loamy,7.56,62.73,1.2,2.19,117.0,46.0,19.0,13.9,55.2,1940.01,4.95,13.31,Kharif,Sprinkler,Reservoir,3.43,Yes,0.58,Central,Low,0.25
Maize,Sowing,Loamy,7.3,44.53,0.35,0.71,76.0,48.5,20.0,31.22,78.52,180.68,6.86,5.4,Rabi,Sprinkler,Rainwater,1.8,No,107.15,Central,Medium,105.58
Cotton,Harvest,Silt,7.06,43.17,0.59,1.14,117.0,46.0,19.0,33.01,90.62,2019.53,5.12,4.35,Kharif,Drip,Rainwater,6.2,No,72.95,North,Low,26.81
Cotton,Harvest,Sandy,7.25,13.04,1.4,2.07,117.0,46.0,19.0,35.34,85.32,765.88,10.65,16.94,Kharif,Drip,Groundwater,1.73,Yes,34.94,Central,Medium,22.8
Maize,Sowing,Loamy,6.5,49.58,0.8,3.05,76.0,48.5,20.0,40.33,84.42,1534.71,7.2,7.89,Zaid,Drip,Rainwater,7.03,Yes,33.29,North,Low,17.49
Maize,Flowering,Silt,7.84,42.32,0.64,2.79,76.0,48.5,20.0,38.94,50.66,1266.62,4.19,17.35,Zaid,Sprinkler,Reservoir,2.16,Yes,28.41,Central,Medium,27.19
Maize,Sowing,Loamy,4.99,59.23,1.11,2.13,76.0,48.5,20.0,21.72,64.57,1188.43,10.27,15.24,Kharif,Drip,Reservoir,10.63,Yes,11.28,West,Low,4.51
Cotton,Sowing,Silt,7.59,52.69,0.85,2.47,117.0,46.0,19.0,26.99,44.06,1932.19,6.02,1.86,Rabi,Rainfed,Rainwater,3.82,No,34.95,Central,Low,15.78
Rice,Vegetative,Sandy,4.93,52.51,1.44,3.03,80.0,47.0,40.0,16.75,35.18,113.17,8.35,16.32,Zaid,Sprinkler,Rainwater,11.35,Yes,104.48,South,Medium,86.4
Cotton,Flowering,Sandy,6.64,64.43,0.35,2.54,117.0,46.0,19.0,16.85,59.4,1398.22,9.78,5.67,Rabi,Sprinkler,River,13.01,Yes,31.66,North,Low,13.59
Rice,Sowing,Sandy,5.3,41.13,0.59,1.8,80.0,47.0,40.0,34.84,58.06,1470.61,10.24,3.27,Zaid,Drip,Groundwater,1.33,Yes,35.09,West,Low,19.09
Rice,Vegetative,Sandy,4.83,34.17,1.21,3.08,80.0,47.0,40.0,29.21,60.29,186.32,8.37,17.42,Zaid,Canal,Groundwater,4.58,No,27.62,East,Medium,29.2
Cotton,Harvest,Silt,7.92,11.83,0.99,1.17,117.0,46.0,19.0,32.32,37.52,1419.52,9.22,13.57,Kharif,Rainfed,Groundwater,6.02,No,59.76,North,Medium,37.94
Cotton,Harvest,Loamy,7.08,36.57,1.45,2.95,117.0,46.0,19.0,12.9,85.29,985.17,9.76,15.07,Kharif,Canal,Reservoir,1.47,No,81.33,West,Low,26.44
Cotton,Vegetative,Clay,6.14,29.03,1.33,3.14,117.0,46.0,19.0,16.57,41.59,2108.3,7.62,7.79,Zaid,Sprinkler,Rainwater,0.87,No,60.67,South,Low,30.58
Maize,Vegetative,Loamy,5.21,49.74,1.51,2.43,76.0,48.5,20.0,36.39,62.54,1615.25,8.25,11.97,Kharif,Drip,River,8.28,No,104.68,South,Medium,75.99
Cotton,Harvest,Clay,6.62,26.3,0.71,0.36,117.0,46.0,19.0,19.1,65.56,954.57,4.45,13.32,Kharif,Rainfed,Reservoir,2.42,No,63.45,South,Low,23.52
Cotton,Flowering,Loamy,6.22,45.18,1.36,1.75,117.0,46.0,19.0,14.64,69.91,380.22,9.74,19.63,Rabi,Canal,Reservoir,1.52,Yes,2.64,East,Low,1.56
Maize,Harvest,Loamy,7.28,39.86,1.26,2.7,76.0,48.5,20.0,16.51,27.65,1005.0,4.94,17.16,Kharif,Sprinkler,Reservoir,2.68,No,64.99,Central,Low,20.86
Maize,Sowing,Loamy,6.57,28.66,1.49,3.13,76.0,48.5,20.0,12.24,48.84,117.93,8.76,3.39,Rabi,Rainfed,Reservoir,6.1,No,74.49,South,Low,52.47
Cotton,Harvest,Loamy,5.45,23.46,1.59,1.89,117.0,46.0,19.0,39.12,41.09,203.81,5.76,15.1,Rabi,Drip,River,9.89,Yes,101.82,West,Medium,88.94
Maize,Sowing,Loamy,7.66,53.31,0.54,2.3,76.0,48.5,20.0,16.49,51.78,1103.59,8.1,1.0,Zaid,Canal,Reservoir,9.33,No,62.06,East,Low,24.98
Rice,Vegetative,Sandy,5.2,52.6,1.25,3.08,80.0,47.0,40.0,40.2,32.09,66.53,8.06,4.5,Kharif,Canal,Groundwater,9.8,No,11.41,Central,Medium,12.21
Maize,Flowering,Silt,8.17,48.35,0.99,1.11,76.0,48.5,20.0,35.94,72.18,1768.02,7.0,17.53,Zaid,Rainfed,Groundwater,6.9,No,54.21,West,Medium,47.68
Cotton,Harvest,Clay,5.51,18.41,0.4,1.83,117.0,46.0,19.0,37.58,53.29,518.58,4.2,17.84,Zaid,Sprinkler,Reservoir,9.6,No,58.19,Central,Medium,39.0
Maize,Harvest,Sandy,4.84,14.63,1.39,0.88,76.0,48.5,20.0,31.17,37.36,1806.69,10.61,19.16,Kharif,Rainfed,River,10.35,No,87.26,West,Medium,54.8
Cotton,Vegetative,Clay,8.19,55.79,1.55,1.85,117.0,46.0,19.0,36.34,41.44,18.39,7.48,3.35,Zaid,Sprinkler,Reservoir,5.0,Yes,40.15,West,Medium,41.6
Cotton,Flowering,Loamy,7.07,26.65,0.59,0.39,117.0,46.0,19.0,18.27,28.62,1553.08,6.74,11.34,Zaid,Rainfed,Groundwater,7.05,Yes,71.97,East,Low,45.21
Rice,Harvest,Sandy,7.87,36.9,1.21,3.46,80.0,47.0,40.0,14.72,81.78,1124.05,5.62,5.2,Zaid,Drip,Rainwater,13.81,Yes,96.59,North,Low,31.31
Rice,Harvest,Clay,7.08,30.32,0.42,2.93,80.0,47.0,40.0,22.47,73.24,1343.85,4.62,9.9,Zaid,Rainfed,Reservoir,1.16,Yes,7.14,East,Low,2.65
Cotton,Flowering,Silt,5.44,12.27,1.02,2.79,117.0,46.0,19.0,20.95,51.93,2033.49,7.11,9.85,Kharif,Rainfed,Reservoir,10.24,No,70.33,East,Medium,68.43
Rice,Sowing,Sandy,6.92,35.08,1.2,0.55,80.0,47.0,40.0,30.7,69.19,1930.16,7.4,8.4,Kharif,Rainfed,Groundwater,0.72,Yes,95.57,East,Low,52.82
Rice,Sowing,Silt,5.52,33.33,1.04,3.11,80.0,47.0,40.0,28.15,48.25,262.35,6.99,12.49,Kharif,Sprinkler,Reservoir,9.4,Yes,47.06,North,Low,32.71
Maize,Flowering,Silt,5.41,28.61,1.39,1.46,76.0,48.5,20.0,40.79,93.94,480.94,10.13,14.55,Kharif,Canal,Rainwater,4.61,No,4.19,East,Medium,4.77
Rice,Harvest,Loamy,5.63,48.76,0.69,1.71,80.0,47.0,40.0,22.13,60.06,509.53,6.39,7.99,Rabi,Canal,River,0.63,No,73.78,East,Low,23.47
Rice,Flowering,Silt,6.32,29.06,0.58,2.32,80.0,47.0,40.0,13.37,57.46,1053.88,6.39,6.89,Zaid,Sprinkler,Groundwater,2.84,No,98.12,West,Low,58.31
Rice,Harvest,Loamy,5.89,32.12,0.54,2.17,80.0,47.0,40.0,37.51,52.06,1505.38,6.37,11.07,Rabi,Sprinkler,Rainwater,2.6,Yes,93.81,East,Low,39.63
Rice,Flowering,Clay,8.1,62.19,0.35,2.02,80.0,47.0,40.0,27.55,89.37,256.62,9.49,5.74,Zaid,Canal,Reservoir,12.17,No,73.35,North,Medium,65.7
Maize,Flowering,Clay,6.29,14.21,0.67,2.51,76.0,48.5,20.0,37.19,76.86,2302.68,5.98,2.02,Rabi,Drip,Reservoir,7.67,No,19.88,East,Medium,22.62
Cotton,Sowing,Clay,6.72,42.65,1.14,2.43,117.0,46.0,19.0,26.99,77.61,2432.36,4.33,18.3,Zaid,Drip,River,13.97,Yes,39.16,South,Low,19.51
Rice,Flowering,Silt,5.33,62.1,0.4,0.97,80.0,47.0,40.0,22.91,75.3,790.81,10.76,13.86,Rabi,Drip,Groundwater,1.08,No,93.45,East,Medium,62.73
Maize,Vegetative,Silt,7.15,64.41,0.67,2.93,76.0,48.5,20.0,19.99,43.71,790.86,10.2,11.57,Zaid,Canal,Rainwater,5.62,Yes,79.03,South,Low,29.24
Cotton,Flowering,Loamy,7.01,34.68,0.71,3.46,117.0,46.0,19.0,28.86,83.54,1737.4,7.65,19.35,Kharif,Canal,Reservoir,7.62,No,99.23,West,Medium,92.7
Cotton,Flowering,Loamy,7.86,44.14,0.31,0.71,117.0,46.0,19.0,12.31,26.36,2403.93,7.72,6.08,Zaid,Rainfed,Groundwater,0.61,Yes,28.36,West,Low,14.75
Maize,Vegetative,Clay,7.35,57.82,0.66,1.99,76.0,48.5,20.0,30.4,62.83,2192.11,4.79,0.83,Zaid,Drip,River,7.41,No,72.85,East,Medium,46.01
Maize,Vegetative,Clay,6.46,50.54,0.49,0.93,76.0,48.5,20.0,41.83,74.09,530.98,7.04,7.27,Kharif,Sprinkler,Rainwater,7.99,Yes,30.7,Central,Low,15.98
Cotton,Sowing,Clay,6.85,36.32,0.47,2.61,117.0,46.0,19.0,38.68,65.78,1432.53,4.61,1.9,Kharif,Drip,River,10.0,Yes,61.77,South,Low,36.32
Maize,Harvest,Sandy,5.91,34.33,1.55,3.1,76.0,48.5,20.0,33.17,74.73,509.0,8.12,17.24,Zaid,Sprinkler,River,9.72,No,58.89,South,Low,23.85
Cotton,Vegetative,Loamy,4.95,34.09,1.25,3.08,117.0,46.0,19.0,20.94,31.51,906.06,8.95,6.89,Zaid,Sprinkler,Groundwater,9.69,No,12.34,East,Low,6.24
Rice,Harvest,Clay,5.91,8.93,0.36,1.33,80.0,47.0,40.0,23.06,51.6,1587.67,8.0,11.61,Zaid,Rainfed,River,14.02,No,63.27,Central,Medium,36.7
Rice,Harvest,Loamy,4.99,35.85,1.38,0.85,80.0,47.0,40.0,31.01,86.18,1010.65,4.43,14.51,Kharif,Rainfed,River,8.5,Yes,95.77,Central,Low,36.91
Rice,Vegetative,Silt,4.88,54.89,1.42,1.55,80.0,47.0,40.0,17.25,30.85,2313.15,4.08,1.06,Kharif,Rainfed,Reservoir,5.64,No,102.46,West,Low,40.9
Rice,Harvest,Clay,6.33,23.89,0.78,0.89,80.0,47.0,40.0,34.89,55.99,1888.41,6.4,15.81,Kharif,Sprinkler,Groundwater,14.41,No,34.55,West,Medium,21.79
Rice,Vegetative,Silt,5.93,37.79,0.79,2.36,80.0,47.0,40.0,17.7,92.05,958.21,9.4,17.69,Zaid,Sprinkler,River,4.17,Yes,74.17,Central,Low,35.1
Rice,Flowering,Sandy,5.36,62.62,0.45,1.16,80.0,47.0,40.0,15.16,45.39,2019.22,8.82,5.41,Kharif,Sprinkler,Reservoir,2.71,No,117.46,East,Low,50.53
Maize,Vegetative,Clay,7.14,56.72,0.63,1.82,76.0,48.5,20.0,26.97,68.88,2151.91,8.02,3.89,Zaid,Drip,Reservoir,5.24,No,94.44,West,Low,40.87
Maize,Flowering,Clay,5.48,49.03,0.37,3.28,76.0,48.5,20.0,14.71,92.77,1292.0,9.29,11.28,Zaid,Rainfed,Rainwater,0.99,Yes,6.46,West,Low,3.21
Maize,Sowing,Clay,5.89,27.81,0.92,1.87,76.0,48.5,20.0,31.01,64.69,1799.11,9.81,9.68,Kharif,Sprinkler,River,12.8,No,32.33,Central,Low,19.05
Maize,Flowering,Sandy,5.3,21.61,0.39,0.38,76.0,48.5,20.0,38.17,92.05,184.81,6.65,12.25,Zaid,Sprinkler,River,13.06,No,81.97,North,High,162.91
Maize,Harvest,Silt,5.05,40.37,0.87,0.19,76.0,48.5,20.0,33.07,66.25,1507.54,4.41,8.49,Rabi,Drip,Groundwater,12.94,No,83.33,Central,Low,31.44
Rice,Harvest,Sandy,7.56,55.6,1.22,1.89,80.0,47.0,40.0,21.02,71.34,1474.23,10.03,17.54,Kharif,Rainfed,River,6.02,Yes,115.43,North,Low,33.32
Rice,Harvest,Clay,6.5,64.45,0.47,2.47,80.0,47.0,40.0,34.51,31.97,822.23,4.51,2.7,Zaid,Canal,Reservoir,4.74,No,35.48,West,Low,10.59
Maize,Vegetative,Silt,6.99,36.85,0.37,0.45,76.0,48.5,20.0,12.02,65.03,671.48,9.43,1.59,Rabi,Rainfed,Groundwater,2.36,No,21.31,Central,Low,9.87
Cotton,Harvest,Silt,7.16,38.16,0.65,0.32,117.0,46.0,19.0,13.74,79.04,2389.82,6.47,14.69,Rabi,Drip,Rainwater,2.12,Yes,83.22,East,Low,26.68
Rice,Sowing,Sandy,7.76,37.32,0.57,2.37,80.0,47.0,40.0,28.59,79.4,2176.57,6.84,19.82,Rabi,Sprinkler,Reservoir,5.77,Yes,103.52,West,Low,54.98
Maize,Flowering,Loamy,7.8,48.61,1.23,3.31,76.0,48.5,20.0,38.28,64.87,2008.67,9.76,12.74,Rabi,Drip,Groundwater,8.74,No,103.7,North,Medium,92.9
Cotton,Flowering,Clay,6.59,14.58,1.14,1.97,117.0,46.0,19.0,30.0,75.69,816.77,5.35,2.83,Zaid,Rainfed,Rainwater,2.67,No,70.25,Central,Medium,74.8
Rice,Sowing,Sandy,7.35,46.9,0.52,3.37,80.0,47.0,40.0,34.67,68.89,2167.7,7.89,6.15,Zaid,Rainfed,Groundwater,8.5,No,61.14,Central,Low,31.45
Rice,Flowering,Loamy,8.08,12.87,0.84,2.01,80.0,47.0,40.0,20.68,65.16,638.67,9.43,13.35,Zaid,Rainfed,River,11.37,No,35.83,North,Medium,34.76
Maize,Flowering,Clay,5.05,43.71,0.78,2.02,76.0,48.5,20.0,17.65,84.0,1430.65,4.12,1.31,Kharif,Rainfed,Groundwater,4.17,No,65.4,East,Low,35.16
Rice,Vegetative,Clay,4.98,24.0,0.84,3.31,80.0,47.0,40.0,36.42,51.55,1732.31,8.99,16.77,Rabi,Sprinkler,Rainwater,8.58,Yes,104.16,East,Medium,95.05
Maize,Sowing,Clay,6.6,52.08,0.49,0.85,76.0,48.5,20.0,37.42,60.22,1957.43,7.67,12.37,Rabi,Sprinkler,Groundwater,6.61,Yes,26.44,Central,Low,13.24
